iter	Passed	Remaining
175	26602	124549
176	26650	123917
177	26703	123314
178	26765	122760
179	26804	122108
180	26846	121477
181	26905	120926
182	26950	120320
183	26998	119730
184	27189	119780
185	27344	119670
186	27405	119149
187	27462	118613
188	27500	118004
189	27538	117400
190	27581	116826
191	27652	116370
192	27696	115808
193	27734	115227
194	27777	114672
195	27817	114108
196	27856	113545
197	27920	113092
198	27967	112572
199	28018	112073
200	28054	111520
201	28099	111006
202	28144	110496
203	28198	110029
204	28235	109497
205	28278	108993
206	28315	108472
207	28364	108001
208	28425	107580
209	28463	107078
210	28547	106749
211	28618	106375
212	28677	105957
213	28730	105522
214	28793	105131
215	28865	104771
216	28929	104386
217	28989	103990
218	29044	103578
219	29105	103190
220	29163	102799
221	29222	102408
222	29276	102008
223	29343	101652
224	29411	101306
225	29467	100921
226	29525	100542
227	29590	100193
228	29655	99842
229	29714	99478
230	29767	99097
231	29831	98754
232	29889	98392
233	29946	98029
234	30007	97685
235	30077	97369
236	30136	97022
237	30189	96656
238	30245	96303
239	30308	95975
240	30372	95655
241	30441	95350
242	30499	95013
243	30565	94703
244	30620	94360
245	30680	94037
246	30739	93711
247	30806	93413
248	30867	93097
249	30951	92854
250	31041	92629
251	31108	92337
252	31162	92009
253	31220	91695
254	31292	91424
255	31352	91119
256	31412	90814
257	31452	90457
258	31489	90092
259	31552	89801
260	31596	89462
261	31639	89121
262	31679	88775
263	31720	88434
264	31762	88094
265	31818	87800
266	31856	87454
267	31900	87130
268	31933	86778
269	31985	86479
270	32036	86179
271	32087	85881
272	32121	85540
273	32159	85211
274	32205	84905
275	32256	84614
276	32296	84298
277	32335	83978
278	32380	83679
279	32429	83390
280	32488	83128
281	32529	82824
282	32577	82538
283	32617	82232
284	32673	81969
285	32714	81670
286	32757	81379
287	32798	81085
288	32842	80798
289	32894	80534
290	32939	80255
291	32981	79969
292	33023	79684
293	33061	79393
294	33105	79117
295	33160	78867
296	33199	78582
297	33233	78289
298	33280	78025
299	33331	77774
300	33381	77519
301	33419	77241
302	33452	76952
303	33494	76684
304	33537	76421
305	33597	76199
306	33638	75932
307	33678	75666
308	33721	75408
309	33757	75136
310	33801	74885
311	33859	74664
312	33901	74410
313	33942	74155
314	33983	73901
315	34030	73660
316	34075	73418
317	34131	73199
318	34163	72931
319	34208	72692
320	34244	72436
321	34280	72179
322	34340	71977
323	34383	71739
324	34426	71500
325	34471	71268
326	34517	71040
327	34562	70811
328	34616	70601
329	34661	70373
330	34699	70132
331	34743	69905
332	34783	69670
333	34839	69469
334	34882	69243
335	34920	69009
336	34960	68779
337	35000	68552
338	35070	68382
339	35132	68198
340	35184	67994
341	35868	69009
342	35935	68832
343	35991	68634
344	36038	68421
345	36083	68204
346	36150	68029
347	36192	67808
348	36232	67586
349	36277	67372
350	36333	67180
351	36374	66962
352	36415	66744
353	36454	66524
354	36500	66316
355	36542	66105
356	36603	65928
357	36644	65715
358	36691	65513
359	36727	65293
360	36767	65081
361	36804	64865
362	36861	64684
363	36904	64480
364	36940	64266
365	36976	64052
366	37015	63843
367	37054	63637
368	37112	63464
369	37154	63263
370	37202	63073
371	37241	62870
372	37292	62687
373	37330	62484
374	37381	62301
375	37426	62112
376	37465	61912
377	37499	61704
378	37546	61520
379	37604	61355
380	37649	61168
381	37689	60973
382	37739	60797
383	37796	60631
384	37841	60448
385	38171	60718
386	38422	60860
387	38601	60886
388	38736	60842
389	38792	60675
390	38834	60486
391	38876	60298
392	38914	60104
393	38974	59946
394	39017	59761
395	39056	59570
396	39097	59384
397	39139	59200
398	39191	59033
